Entity,Year,Other renewables (TWh),Biofuels (TWh),Solar (TWh),Wind (TWh),Hydropower (TWh),Nuclear (TWh),Gas (TWh),Oil (TWh),Coal (TWh),Traditional biomass (TWh)
World,1800,0,0,0,0,0,0,0,0,97,5556
World,1810,0,0,0,0,0,0,0,0,128,5833
World,1820,0,0,0,0,0,0,0,0,153,6111
World,1830,0,0,0,0,0,0,0,0,264,6389
World,1840,0,0,0,0,0,0,0,0,356,6944
World,1850,0,0,0,0,0,0,0,0,569,7222
World,1860,0,0,0,0,0,0,0,0,1061,6944
World,1870,0,0,0,0,0,0,0,6,1642,6944
World,1880,0,0,0,0,0,0,0,33,2542,6944
World,1890,0,0,0,0,38.88888931,0,33,89,3856,6667
World,1900,0,0,0,0,47.22222137,0,64,181,5728,6111
World,1910,0,0,0,0,91.66666412,0,142,397,8656,6389
World,1920,0,0,0,0,177.777771,0,233,889,9833,6944
World,1930,0,0,0,0,363.8888855,0,603,1756,10125,7222
World,1940,0,0,0,0,533.333313,0,875,2653,11586,7222
World,1950,0,0,0,0,925,0,2092,5444,12603,7500
World,1960,0,0,0,0,1913.888916,0,4472,11097,15442,8889
World,1965,55.94908524,9.02986145,0,0,2729.886475,72.46934509,6303.798828,17989.60352,16140.17871,9162
World,1966,61.73760605,9.209843636,0,0,2909.135986,97.70497131,6868.794434,19341.14648,16324.09375,9218
World,1967,62.35337448,9.38371563,0,0,2973.969238,116.3551788,7374.039551,20732.13672,16060.80957,9274
World,1968,69.03191376,9.553799629,0,0,3132.305176,147.8718872,8044.331543,22488.33203,16301.14648,9331
World,1969,72.55871582,9.723980904,0,0,3316.980469,175.3113403,8833.417969,24353,16798.73633,9387
World,1970,80.33794403,11.0390625,0,0,3473.426514,223.8080139,9614.791992,26505.18359,17058.60742,9444
World,1971,87.33906555,11.64955807,0,0,3628.941895,311.2872314,10293.2002,27994.79688,16965.77734,9499
World,1972,93.40202332,12.94693279,0,0,3798.634033,431.7992554,10861.72363,30112.26367,17158.63672,9553
World,1973,100.2463074,12.5866394,0,0,3852.995117,578.5737305,11377.83789,32534.80664,17667.84961,9608
World,1974,106.872963,12.16781425,0,0,4232.136719,756.4817505,11659.86523,32078.17969,17682.05078,9663
World,1975,108.1472015,11.48027992,0,0,4284.33252,1049.449707,11659.74121,31715.76953,18024.53711,9718
World,1976,120.5710602,11.86993122,0,0,4267.339355,1227.711548,12354.14355,33752.46484,18688.48438,9774
World,1977,127.2666321,15.85667896,0,0,4410.858887,1528.137451,12759.84277,34928.13672,19241.30078,9830
World,1978,135.026825,20.97179222,0,0.008861111,4773.710938,1775.700928,13293.95215,36509.91797,19457.9043,9886
World,1979,144.5155182,26.00082588,0,0.017749999,5012.646973,1846.824585,14118.03223,37064.56641,20363.53906,9943
World,1980,153.7885742,29.85854721,0,0.031048333,5120.46875,2020.095581,14236.96094,35514.42188,20857.60938,10000
World,1981,164.9075775,27.29734802,0,0.031048333,5230.628418,2385.642822,14395.87402,34251.57031,21149.67969,10106
World,1982,191.2328949,35.22252274,0,0.054704163,5325.265625,2588.317383,14469.73535,33185.26953,21385.45117,10213
World,1983,211.7705841,44.50929642,0.008861111,0.096974447,5552.54248,2933.458984,14703.83301,32937.60547,22046.3457,10321
World,1984,236.3206482,53.71253204,0.018666666,0.132341668,5740.620117,3559.856689,15902.68066,33680.05469,23001.08008,10430
World,1985,244.3552246,63.57527924,0.034737218,0.189898327,5854.193848,4224.837402,16262.22168,33660.10156,23987.82813,10541
World,1986,265.204895,79.67752838,0.044898331,0.410522789,5933.473145,4525.086426,16421.11133,34700.83594,24258.0332,10653
World,1987,283.8797607,81.1354599,0.031353053,0.57772696,6013.859375,4922.331055,17281.89648,35393.54297,25212.42578,10765
World,1988,292.2910461,85.56256104,0.030149443,0.98047775,6206.563477,5366.448242,18088.8457,36552.58984,25967.12891,10879
World,1989,321.9194946,91.30406189,0.77539134,7.835361004,6173.58252,5518.996094,18867.30859,37156.83594,26215.67578,10995
World,1990,361.1251526,100.9355927,1.148183823,10.74117565,6383.380859,5676.34082,19481.125,37608.01953,25904.46875,11111
World,1991,376.7493896,106.6506271,1.493879437,12.08434772,6532.162598,5947.926758,19972.83984,37610.64063,25654.25195,11243
World,1992,404.7410278,104.6589661,1.37968719,13.99605751,6530.393555,5993.084473,20063.48438,38151.84766,25556.59375,11376
World,1993,418.3900146,109.135025,1.646148562,16.84765053,6923.664551,6199.476074,20265.48438,37960.61328,25685.59375,11511
World,1994,434.5735779,117.9161911,1.765363812,21.06242752,6967.245117,6315.866211,20389.61523,38793.50781,25784.77734,11647
World,1995,454.2080383,124.0906754,1.888965607,24.43041801,7344.211914,6589.833008,21104.49414,39442.17578,25963.68164,11785
World,1996,466.2979431,119.1962967,2.067550659,27.21790314,7442.816895,6829.333496,22159.25586,40314.29688,26582.12305,11925
World,1997,499.9099121,124.0634079,2.216514111,35.53655243,7572.938477,6782.445313,22030.39258,41413.24609,26536.6875,12066
World,1998,520.494751,126.4851151,2.400450945,47.07899094,7631.976563,6899.195801,22434,41644.41406,26366.36523,12209
World,1999,546.0943604,128.3188324,2.676657438,62.73599625,7689.777832,7161.753418,23071.9043,42370.09375,26479.49609,12414
World,2000,571.1834717,125.5153275,3.131363392,92.8714447,7826.166016,7323.339844,23994.25781,42880.92578,27427.52344,12500
World,2001,593.1750488,121.6528397,4.181310654,112.7565689,7575.620117,7481.208496,24316.83398,43255.68359,27860.15234,12500
World,2002,638.6609497,151.3021088,5.251040459,152.7857513,7665.618652,7551.708984,25030.14258,43608.86328,28955.10352,12470
World,2003,674.0078125,171.0836639,6.540081024,183.5354919,7606.506836,7351.345703,25729.58984,44580.64844,31499.23242,12329
World,2004,728.2478638,202.1987305,8.562890053,246.744873,8116.037598,7636.449707,26721.10156,46270.65625,33673.01172,12160
World,2005,788.9249878,240.3444824,11.98942757,299.6399841,8336.203125,7608.073242,27438.03711,46672.65625,36169.05859,12076
World,2006,840.5309448,298.0293884,16.39476395,379.8566589,8599.056641,7654.419434,28161.10547,47172.60938,38069.03516,11993
World,2007,912.0394287,391.1390076,22.10608482,484.9559326,8688.974609,7451.547852,29315.39063,47758.875,40228.41797,11911
World,2008,975.3799438,527.3995361,35.68049622,622.1779175,9136.708984,7382.284668,30021.31836,47338.6875,40773.58203,11829
World,2009,1047.914429,600.3394775,58.85353851,773.0018311,9066.299805,7232.938477,29401.19141,46371.56641,40175.35938,11747
World,2010,1180.300171,691.1564331,94.12339783,961.5288086,9518.041992,7373.733398,31588.86328,47895.07422,41996.38672,11667
World,2011,1247.59729,728.1022949,180.9189911,1214.866699,9635.075195,7022.148438,32340.17969,48307.65625,44017.29688,11553
World,2012,1352.366455,754.131897,278.4185181,1454.586914,9985.884766,6500.992188,33194.03516,49010.70703,44184.375,11441
World,2013,1463.134521,819.0755005,377.7468567,1732.016968,10324.78711,6513.491699,33729.72266,49520.15625,44842.61719,11330
World,2014,1584.601318,868.7943726,531.9489746,1912.226807,10535.74121,6606.678223,33944.27344,49832.44141,45161.20703,11220
World,2015,1711.228394,905.0957642,686.007019,2238.785645,10444.33789,6655.756348,34768.67578,50796.26172,44054.44141,11111
World,2016,1737.302124,946.9467773,876.9552612,2575.582275,10741.48535,6714.795898,35560.77344,51760.77734,43504.16406,11111
World,2017,1850.659912,972.5343018,1185.515015,3034.916992,10831.40527,6734.873047,36529.22266,52515.54297,43751.67578,11111
World,2018,1995.825684,1045.907959,1524.549683,3360.018555,11067.51758,6856.016602,38356.30078,53250.62109,44315.875,11111
World,2019,2095.157959,1120.149414,1855.592163,3744.514893,11153.79199,7073.289551,39062.94531,53368.62891,43699.88672,11111
World,2020,2185.723877,1065.564941,2222.443115,4192.682129,11413.82715,6789.301758,38455.72656,48380.71094,41963.96484,11111
World,2021,2373.098633,1139.921143,2701.722168,4872.094727,11183.22559,7031.339355,40374.60547,51170.47266,44473.19531,11111
